Date,Merchant,Amount,Category
2024-04-13,BigBasket,239.83,Shopping
2024-04-14,Starbucks,854.15,Food
2024-04-14,Blinkit,4321.48,Shopping
2024-04-14,Social Restaurant,195.63,Food
2024-04-14,Barbeque Nation,361.78,Food
2024-04-15,Airtel Postpaid,1024.7,Bills
2024-04-15,H&M India,3326.44,Shopping
2024-04-15,Paytm Insurance,844.24,Bills
2024-04-16,HDFC Loan EMI,3484.25,Bills
2024-04-16,Metro Card Recharge,4457.0,Travel
2024-04-16,IndiGo Airlines,5036.29,Travel
2024-04-16,DMart,3456.92,Shopping
2024-04-17,Myntra,6816.96,Shopping
2024-04-17,Zara India,1823.35,Shopping
2024-04-18,FreshMenu,1124.67,Food
2024-04-19,Tata Sky DTH,2155.6,Bills
2024-04-19,Airtel Postpaid,199.73,Bills
2024-04-20,INOX Movies,236.84,Entertainment
2024-04-20,Metro Card Recharge,4082.49,Travel
2024-04-21,ICICI Credit Card,1994.21,Bills
2024-04-22,Flipkart,7647.04,Shopping
2024-04-22,SpiceJet,11760.39,Travel
2024-04-24,BMTC Bus Pass,6423.09,Travel
2024-04-25,KFC,392.83,Food
2024-04-25,1mg,1012.07,Healthcare
2024-04-25,Westside,4470.58,Shopping
2024-04-26,Air India,11016.96,Travel
2024-04-26,Lenskart,1379.77,Entertainment
2024-04-26,Starbucks,613.78,Food
2024-04-27,Box8,80.46,Food
2024-04-28,Drivezy,9167.92,Travel
2024-04-29,Lifestyle Stores,1557.6,Shopping
2024-04-30,Starbucks,180.29,Food
2024-05-02,Croma,4190.25,Shopping
2024-05-02,Timezone Fun Zone,252.34,Entertainment
2024-05-03,FreshMenu,404.37,Food
2024-05-03,Google One,3945.0,Bills
2024-05-03,Westside,6114.88,Shopping
2024-05-06,Vedantu,5114.15,Education
2024-05-07,SonyLIV,1592.02,Entertainment
2024-05-08,Unacademy,4224.88,Education
2024-05-09,Faasos,1042.33,Food
2024-05-11,Tata Cliq,3761.1,Shopping
2024-05-12,Rebel Foods,660.94,Food
2024-05-13,Westside,2814.4,Shopping
2024-05-13,PharmEasy,3272.52,Healthcare
2024-05-14,Microsoft 365,4049.18,Bills
2024-05-14,Airtel Postpaid,1703.32,Bills
2024-05-15,BESCOM Electricity,1647.96,Bills
2024-05-15,SpiceJet,11765.54,Travel
2024-05-16,HDFC Loan EMI,2380.73,Bills
2024-05-17,FreshMenu,535.92,Food
2024-05-18,Ola Cabs,3334.56,Travel
2024-05-18,Dr. Lal PathLabs,3076.65,Healthcare
2024-05-21,YouTube Premium,882.5,Entertainment
2024-05-21,Practo,1557.47,Healthcare
2024-05-23,Fortis Hospital,3002.51,Healthcare
2024-05-23,Flipkart,4533.98,Shopping
2024-05-24,Timezone Fun Zone,1980.83,Entertainment
2024-05-24,Cleartrip,3890.81,Travel
2024-05-24,INOX Movies,2364.46,Entertainment
2024-05-25,ICICI Credit Card,3514.87,Bills
2024-05-25,BigBasket,7901.57,Shopping
2024-05-26,Manipal Hospital,1335.18,Healthcare
2024-05-26,Duolingo Plus,4173.29,Education
2024-05-26,Udupi Darshini,336.38,Food
2024-05-28,HDFC Loan EMI,2490.52,Bills
2024-05-28,FastTag Recharge,10642.43,Travel
2024-05-28,Xbox Game Pass,2854.24,Entertainment
2024-05-29,LeetCode Premium,3649.43,Education
2024-05-29,Social Restaurant,228.7,Food
2024-05-30,RedBus,8700.21,Travel
2024-05-30,Air India,1323.07,Travel
2024-05-31,PlayStation Store,2155.55,Entertainment
2024-05-31,Rapido,6510.92,Travel
2024-05-31,Spencer's Retail,1149.41,Shopping
2024-05-31,FastTag Recharge,8972.77,Travel
2024-06-01,SRL Diagnostics,2560.0,Healthcare
2024-06-04,LIC Premium,3904.28,Bills
2024-06-04,Zepto,7492.07,Shopping
2024-06-05,IndiGo Airlines,11631.52,Travel
2024-06-05,Drivezy,5250.93,Travel
2024-06-06,Zara India,5816.48,Shopping
2024-06-06,Domino's Pizza,1000.48,Food
2024-06-07,Uber,10091.1,Travel
2024-06-07,Fortis Hospital,3953.79,Healthcare
2024-06-07,YouTube Premium,1645.56,Entertainment
2024-06-08,Timezone Fun Zone,1156.29,Entertainment
2024-06-09,Skillshare,3363.44,Education
2024-06-09,Spotify Premium,2343.62,Bills
2024-06-10,Meesho,5783.76,Shopping
2024-06-11,Zara India,2919.92,Shopping
2024-06-12,Ajio,294.86,Shopping
2024-06-14,1mg,980.67,Healthcare
2024-06-14,Zomato,715.25,Food
2024-06-14,Drivezy,1235.13,Travel
2024-06-15,Jio Recharge,1751.29,Bills
2024-06-16,Pluralsight,2283.41,Education
2024-06-16,Google One,2924.06,Bills
2024-06-16,Jio Recharge,1678.16,Bills
2024-06-17,Goibibo,2698.41,Travel
2024-06-18,Social Restaurant,1038.39,Food
2024-06-18,Nykaa,3489.24,Shopping
2024-06-19,Rent Payment,4438.17,Bills
2024-06-20,Axis Bank EMI,2095.76,Bills
2024-06-23,Westside,663.88,Shopping
2024-06-24,HealthifyMe,2751.69,Healthcare
2024-06-25,Spencer's Retail,958.52,Shopping
2024-06-25,Rent Payment,3648.71,Bills
2024-06-27,Barbeque Nation,672.32,Food
2024-06-29,EatFit,384.59,Food
2024-06-30,McDonald's,255.26,Food
2024-06-30,Westside,1648.14,Shopping
2024-06-30,Jio Recharge,2986.16,Bills
2024-07-01,Gym Membership,3909.02,Healthcare
2024-07-02,McDonald's,1176.99,Food
2024-07-02,Ola Cabs,157.61,Travel
2024-07-03,Subway,277.31,Food
2024-07-03,NPTEL Certification,2921.83,Education
2024-07-03,MTR Foods,274.35,Food
2024-07-05,Barbeque Nation,668.04,Food
2024-07-06,HDFC Loan EMI,3006.33,Bills
2024-07-06,Faasos,769.46,Food
2024-07-07,Gym Membership,2167.82,Healthcare
2024-07-07,Yoga Studio,1041.48,Healthcare
2024-07-09,SpiceJet,9576.42,Travel
2024-07-10,Ajio,7219.77,Shopping
2024-07-10,Netflix,4309.94,Bills
2024-07-10,Vistara,9876.6,Travel
2024-07-11,Myntra,6900.85,Shopping
2024-07-12,Tata Sky DTH,1641.17,Bills
2024-07-13,Manipal Hospital,1989.96,Healthcare
2024-07-13,Uber,6376.98,Travel
2024-07-13,BESCOM Electricity,3826.14,Bills
2024-07-13,FastTag Recharge,6259.3,Travel
2024-07-13,Google One,4232.77,Bills
2024-07-15,Uber,2186.97,Travel
2024-07-16,McDonald's,343.43,Food
2024-07-16,Ayur Clinic,3586.01,Healthcare
2024-07-18,FreshMenu,945.12,Food
2024-07-18,H&M India,5116.04,Shopping
2024-07-19,FreshMenu,106.18,Food
2024-07-19,Swiggy,628.31,Food
2024-07-21,Snapdeal,7447.89,Shopping
2024-07-21,Zepto,5472.1,Shopping
2024-07-22,Disney+ Hotstar,1195.02,Entertainment
2024-07-22,Yatra,345.26,Travel
2024-07-24,HDFC Loan EMI,2854.04,Bills
2024-07-24,INOX Movies,934.79,Entertainment
2024-07-25,Udemy,3016.09,Education
2024-07-25,Jio Recharge,4506.35,Bills
2024-07-26,SonyLIV,2513.94,Entertainment
2024-07-28,Narayana Health,173.73,Healthcare
2024-07-28,Faasos,390.73,Food
2024-07-31,Society Maintenance,763.84,Bills
2024-07-31,Swiggy,640.46,Food
2024-08-02,Faasos,265.92,Food
2024-08-03,Xbox Game Pass,1321.11,Entertainment
2024-08-05,Zomato,1107.98,Food
2024-08-10,Drivezy,10363.76,Travel
2024-08-10,SonyLIV,952.1,Entertainment
2024-08-10,Flipkart,7018.52,Shopping
2024-08-11,Meru Cabs,4645.87,Travel
2024-08-14,Disney+ Hotstar,201.73,Entertainment
2024-08-14,Barbeque Nation,732.56,Food
2024-08-15,Amazon,1511.06,Shopping
2024-08-16,MTR Foods,450.56,Food
2024-08-17,Xbox Game Pass,151.37,Entertainment
2024-08-17,Westside,4493.99,Shopping
2024-08-18,Cafe Coffee Day,750.34,Food
2024-08-19,Cleartrip,8574.33,Travel
2024-08-20,Jio Recharge,3623.47,Bills
2024-08-20,Udupi Darshini,1191.04,Food
2024-08-20,SRL Diagnostics,504.84,Healthcare
2024-08-20,Snapdeal,5979.93,Shopping
2024-08-20,Faasos,824.72,Food
2024-08-21,Uber,3480.6,Travel
2024-08-21,FreshMenu,983.72,Food
2024-08-22,McDonald's,874.74,Food
2024-08-22,McDonald's,132.37,Food
2024-08-24,Lifestyle Stores,1228.32,Shopping
2024-08-25,INOX Movies,1440.46,Entertainment
2024-08-25,Udupi Darshini,933.71,Food
2024-08-26,Cafe Coffee Day,919.12,Food
2024-08-29,BWSSB Water,2046.05,Bills
2024-08-29,Haldiram's,1088.19,Food
2024-08-29,Subway,356.35,Food
2024-08-31,Zomato,219.15,Food
2024-09-02,Cleartrip,3189.7,Travel
2024-09-03,IRCTC,11185.5,Travel
2024-09-04,ACT Fibernet,2814.98,Bills
2024-09-04,YouTube Premium,1303.88,Entertainment
2024-09-05,DMart,4901.86,Shopping
2024-09-05,Cleartrip,459.26,Travel
2024-09-05,Rapido,2278.28,Travel
2024-09-05,SBI Credit Card Bill,2821.42,Bills
2024-09-06,BYJU'S,2488.64,Education
2024-09-07,More Supermarket,1461.8,Shopping
2024-09-07,Flipkart,1946.83,Shopping
2024-09-08,Axis Bank EMI,514.26,Bills
2024-09-11,Haldiram's,162.86,Food
2024-09-11,Behrouz Biryani,900.79,Food
2024-09-11,LinkedIn Learning,2486.99,Education
2024-09-12,Manipal Hospital,2858.46,Healthcare
2024-09-12,Airtel Postpaid,1534.85,Bills
2024-09-13,Lifestyle Stores,2481.51,Shopping
2024-09-13,MakeMyTrip,10695.19,Travel
2024-09-14,Barbeque Nation,1045.2,Food
2024-09-14,Fortis Hospital,2996.56,Healthcare
2024-09-15,Box8,336.64,Food
2024-09-16,Myntra,1901.81,Shopping
2024-09-16,Cafe Coffee Day,573.71,Food
2024-09-17,Zoom Car,3926.29,Travel
2024-09-17,Box8,210.29,Food
2024-09-18,HealthifyMe,3493.33,Healthcare
2024-09-18,Reliance Digital,4606.92,Shopping
2024-09-22,Jio Recharge,3926.44,Bills
2024-09-23,Yatra,4060.0,Travel
2024-09-23,Simplilearn,2497.04,Education
2024-09-24,Udemy,4295.37,Education
2024-09-25,Cafe Coffee Day,632.16,Food
2024-09-25,Reliance Digital,382.39,Shopping
2024-09-26,ICICI Credit Card,3377.48,Bills
2024-09-26,Metro Card Recharge,2493.27,Travel
2024-09-27,Jio Recharge,648.28,Bills
2024-09-27,Flipkart,2322.38,Shopping
2024-09-27,Cafe Coffee Day,758.39,Food
2024-09-29,H&M India,3091.75,Shopping
2024-09-30,Cafe Coffee Day,133.46,Food
2024-10-01,DMart,7656.79,Shopping
2024-10-02,Box8,1148.45,Food
2024-10-02,BigBasket,4137.24,Shopping
2024-10-02,Blinkit,7866.01,Shopping
2024-10-02,Domino's Pizza,1183.27,Food
2024-10-03,Manipal Hospital,555.2,Healthcare
2024-10-03,Meru Cabs,6151.89,Travel
2024-10-03,Croma,3477.21,Shopping
2024-10-03,Nykaa,6072.34,Shopping
2024-10-04,DMart,555.4,Shopping
2024-10-04,Pluralsight,1084.75,Education
2024-10-06,Society Maintenance,2905.52,Bills
2024-10-11,Box8,796.37,Food
2024-10-12,Goibibo,6748.94,Travel
2024-10-12,FreshMenu,415.69,Food
2024-10-13,Cleartrip,6118.82,Travel
2024-10-14,Gas Bill GAIL,2606.0,Bills
2024-10-14,Meru Cabs,4691.46,Travel
2024-10-15,Social Restaurant,1148.63,Food
2024-10-15,Nykaa,2943.62,Shopping
2024-10-17,Vistara,11864.79,Travel
2024-10-17,Yatra,162.71,Travel
2024-10-17,Ola,10173.03,Travel
2024-10-19,Spencer's Retail,268.93,Shopping
2024-10-19,McDonald's,132.6,Food
2024-10-19,Air India,6881.97,Travel
2024-10-20,Box8,1059.13,Food
2024-10-21,upGrad,2519.18,Education
2024-10-22,HealthifyMe,907.32,Healthcare
2024-10-22,BESCOM Electricity,4763.43,Bills
2024-10-22,BMTC Bus Pass,8016.69,Travel
2024-10-23,More Supermarket,4168.1,Shopping
2024-10-23,DMart,3114.08,Shopping
2024-10-23,McDonald's,1069.38,Food
2024-10-24,Lifestyle Stores,2604.05,Shopping
2024-10-24,Unacademy,2902.15,Education
2024-10-25,Airtel Postpaid,1735.84,Bills
2024-10-25,Disney+ Hotstar,1961.86,Entertainment
2024-10-26,MTR Foods,347.24,Food
2024-10-26,FreshMenu,1193.26,Food
2024-10-28,Domino's Pizza,1110.48,Food
2024-10-28,Udupi Darshini,298.62,Food
2024-10-29,Drivezy,5380.6,Travel
2024-10-29,Rebel Foods,939.12,Food
2024-10-29,Flipkart,3087.11,Shopping
2024-10-30,Starbucks,472.8,Food
2024-10-30,Society Maintenance,1763.76,Bills
2024-10-31,Spencer's Retail,6205.63,Shopping
2024-10-31,Westside,361.44,Shopping
2024-11-01,SBI Credit Card Bill,3414.44,Bills
2024-11-02,Meesho,551.56,Shopping
2024-11-02,Swiggy,432.6,Food
2024-11-05,Behrouz Biryani,777.09,Food
2024-11-05,Jio Recharge,2454.55,Bills
2024-11-05,Reliance Digital,5890.98,Shopping
2024-11-06,More Supermarket,4958.56,Shopping
2024-11-06,Apollo Pharmacy,1010.63,Healthcare
2024-11-06,ACT Fibernet,2507.61,Bills
2024-11-07,Reliance Digital,4310.66,Shopping
2024-11-07,Westside,6323.96,Shopping
2024-11-09,SBI Credit Card Bill,1401.24,Bills
2024-11-12,Airtel Postpaid,1493.71,Bills
2024-11-14,Lifestyle Stores,3878.58,Shopping
2024-11-14,RedBus,7627.42,Travel
2024-11-15,Timezone Fun Zone,1319.96,Entertainment
2024-11-15,Faasos,1002.17,Food
2024-11-16,Rapido,336.27,Travel
2024-11-17,McDonald's,990.65,Food
2024-11-17,ICICI Credit Card,1950.28,Bills
2024-11-17,KFC,222.0,Food
2024-11-18,McDonald's,1137.35,Food
2024-11-19,LIC Premium,2096.52,Bills
2024-11-20,Subway,351.53,Food
2024-11-20,Box8,1109.24,Food
2024-11-20,LeetCode Premium,5493.87,Education
2024-11-21,EatFit,456.62,Food
2024-11-21,YouTube Premium,354.44,Entertainment
2024-11-22,Yatra,10649.14,Travel
2024-11-22,Steam Games,2185.25,Entertainment
2024-11-22,Rapido,396.13,Travel
2024-11-23,Cafe Coffee Day,835.83,Food
2024-11-23,KFC,452.45,Food
2024-11-25,EatFit,724.08,Food
2024-11-25,McDonald's,972.74,Food
2024-11-26,Tata Cliq,2435.65,Shopping
2024-11-26,Subway,628.32,Food
2024-11-26,Zomato,196.57,Food
2024-11-26,Paytm Insurance,2759.85,Bills
2024-12-01,Max Healthcare,654.99,Healthcare
2024-12-01,Cafe Coffee Day,726.44,Food
2024-12-02,Uber,7116.32,Travel
2024-12-02,DMart,713.44,Shopping
2024-12-02,RedBus,10103.9,Travel
2024-12-03,KFC,347.56,Food
2024-12-04,SBI Credit Card Bill,2190.68,Bills
2024-12-06,Airtel Postpaid,447.57,Bills
2024-12-06,Narayana Health,1044.37,Healthcare
2024-12-07,Spotify Premium,4590.2,Bills
2024-12-08,BMTC Bus Pass,3553.59,Travel
2024-12-09,Lifestyle Stores,718.57,Shopping
2024-12-09,Cleartrip,501.94,Travel
2024-12-10,Domino's Pizza,798.59,Food
2024-12-11,Spotify Premium,2683.01,Bills
2024-12-13,Box8,1196.86,Food
2024-12-13,Rebel Foods,424.52,Food
2024-12-15,Disney+ Hotstar,2255.01,Entertainment
2024-12-18,Udupi Darshini,454.85,Food
2024-12-18,Tata Cliq,6143.9,Shopping
2024-12-19,Haldiram's,191.89,Food
2024-12-19,Ola Cabs,1905.49,Travel
2024-12-19,upGrad,4457.82,Education
2024-12-21,Lenskart,2739.69,Entertainment
2024-12-22,Drivezy,7556.72,Travel
2024-12-25,Behrouz Biryani,253.18,Food
2024-12-26,Lenskart,211.4,Entertainment
2024-12-26,Jio Recharge,3046.42,Bills
2024-12-27,VR Park,783.16,Entertainment
2024-12-27,Spotify Premium,4046.15,Bills
2024-12-28,Behrouz Biryani,768.44,Food
2024-12-29,Air India,5493.97,Travel
2024-12-29,H&M India,7414.15,Shopping
2024-12-30,Faasos,683.57,Food
2024-12-30,Box8,1111.53,Food
2024-12-31,Udupi Darshini,1091.57,Food
2024-12-31,Tata Cliq,6293.46,Shopping
2024-12-31,GeeksforGeeks Premium,4442.06,Education
